ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3M2BC1772,0,65,2024-03-21 16:21:27,99.97518,577.6,725,14.2994,13.36244,0,0,1.15,1.15,1.5,59.97231,229.1484,120.1783,118.6931,59.24335,59.31657,5,5,49.99615,49.97179,50.02707,50.05247,0,0,1,5.5,40,210,-0.2488861,120,-11.24436,492.2322,492.2322,749.7775,492.2322,367.2461,492.2322,370.55,31.79157,31.85805
E3M2BC1772,0,66,2024-03-21 16:21:33,99.97518,577.9,724.6,14.36435,13.33145,0,0,1.15,1.15,1.5,60.03318,230.5684,120.2538,118.5788,59.47826,59.33163,5,5,49.97615,49.95128,50.01353,50.06604,0,0,1,5.5,40,210,-0.248888,120,-11.24436,502.3482,502.3482,747.8917,502.3482,368.8224,502.3482,372.365,31.75558,31.94595
E3M2BC1772,0,67,2024-03-21 16:21:39,99.97518,576.5,723.9,14.63246,13.45032,0,0,1.15,1.15,1.5,59.96622,229.3866,119.8262,118.3101,59.27209,59.32661,5,5,50.03923,49.96837,50.02707,50.0358,0,0,1,5.5,40,210,-0.248888,120,-11.24436,512.4576,512.4576,745.9867,512.4576,370.7907,512.4576,374.3725,31.75242,31.98007
E3M2BC1772,0,68,2024-03-21 16:21:45,99.97518,576.8,723.7,14.6058,13.42698,0,0,1.15,1.15,1.5,60.07701,229.797,120.5027,118.285,59.2421,59.30653,5,5,49.94846,49.97523,49.9827,50.02222,0,0,1,5.5,40,210,-0.248888,120,-11.24436,522.5405,522.5405,744.5891,522.5405,372.6038,522.5405,376.3486,31.7531,31.82377
E3M2BC1772,0,69,2024-03-21 16:21:51,99.97518,577.1,725,14.42351,13.40591,0,0,1.15,1.15,1.5,60.0344,230.6523,120.465,118.4608,59.37955,59.27893,5,5,49.93,50.0034,49.9579,50.04815,0,0,1,5.5,40,210,-0.248888,120,-11.24436,532.61,532.61,743.2968,532.61,374.312,532.61,378.0143,31.78708,31.72552
E3M2BC1772,0,70,2024-03-21 16:21:57,99.95969,576.6,724,14.534,13.40776,0,0,1.15,1.15,1.5,60.12814,229.2817,119.62,118.5487,59.44452,59.2714,5,5,49.98616,50.01369,49.99699,50.00987,0,0,1,5.5,40,210,-0.2488861,120,-11.24436,542.7926,542.7926,741.3057,542.7926,376.455,542.7926,379.7075,31.76075,31.92615
E3M2BC1772,0,71,2024-03-21 16:22:03,99.97518,576.8,723.8,14.4388,13.38587,0,0,1.15,1.15,1.5,59.86883,230.8081,120.123,118.7559,59.44327,59.24255,5,5,49.95154,50.01967,50.0015,50.02161,0,0,1,5.5,40,210,-0.248888,120,-11.17173,552.982,552.982,739.5587,552.982,377.8993,552.982,381.4793,31.73465,31.6287
E3M2BC1772,0,72,2024-03-21 16:22:09,99.97518,576.3,724.4,14.37899,13.48898,0,0,1.15,1.15,1.5,59.96988,229.2053,118.2419,119.6903,59.13839,59.25133,5,5,50.02,50.00941,50.0045,50.00123,0,0,1,5.5,40,210,-0.2488861,120,-11.15431,563.0714,563.0714,737.6011,563.0714,379.6541,563.0714,383.4436,31.71155,31.61872
E3M2BC1772,0,73,2024-03-21 16:22:16,99.97518,576.2,723.8,14.53075,13.59517,0,0,1.15,1.15,1.5,59.95648,230.6448,118.5839,118.8376,59.2421,59.24255,5,5,49.99231,49.99571,49.9782,50.0074,0,0,1,5.5,40,210,-0.2488823,120,-11.24984,573.1273,573.1273,736.0168,573.1273,381.4322,573.1273,385.125,31.7912,32.13195
E3M2BC1772,0,74,2024-03-21 16:22:22,99.99455,576.5,724,14.48236,13.52637,0,0,1.15,1.15,1.5,59.97353,229.3042,118.7222,119.2985,59.21212,59.23753,5,5,49.92769,49.96922,50.01128,50.03703,0,0,1,5.5,40,210,-0.2488823,120,-11.24988,583.23,583.23,734.6144,583.23,383.3035,583.23,386.9164,31.7408,31.56383
