ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3E2BC1911,0,34,2024/3/14 17:34,99.99455,475.7,469.9,13.3771,10.82141,0,0,1.2,1.2,2,59.84048,320.7335,149.647,119.7557,64.1235,64.48134,10,10,50.40737,50.01482,49.99113,49.23611,0,0,1,1.5,37,180,-0.4679756,120,5.732214,140.151,140.7423,745.6024,140.7423,295.3131,140.7423,259.0643,32.38106,24.91819
E3E2BC1911,0,35,2024/3/14 17:35,99.97518,467.5,460.7,13.99607,12.76959,0,0,1.2,1.2,2,60.05943,320.2826,150.1769,119.8066,64.1059,64.44133,10,10,49.98278,50.03612,50.12339,49.44537,0,0,1,1.5,37,180,-0.4679718,120,5.699134,150.2246,150.8159,744.9481,150.8159,298.123,150.8159,261.9843,32.39694,24.91825
E3E2BC1911,0,36,2024/3/14 17:35,99.99455,467.1,461.5,14.02951,12.74313,0,0,1.2,1.2,2,60.21793,320.3752,151.0967,119.7818,64.13733,64.41293,10,10,49.66065,50.02223,50.05726,49.57317,0,0,1,1.5,37,180,-0.4679756,120,5.699139,160.3255,160.9168,744.3745,160.9168,300.8902,160.9168,265.0059,32.39112,24.91919
E3E2BC1911,0,37,2024/3/14 17:35,100.01,474.1,466.5,13.42752,11.81701,0,0,1.2,1.2,2,60.12542,320.0071,150.4718,119.8438,64.22282,64.31224,10,10,49.65246,50.01295,49.94436,49.58519,0,0,1,1.5,37,180,-0.4679775,120,5.699139,170.4063,170.9976,744.137,170.9976,304.0513,170.9976,268.2256,32.434,24.91794
E3E2BC1911,0,38,2024/3/14 17:35,99.99455,474.6,466.6,13.40716,11.81027,0,0,1.2,1.2,2,59.87255,320.2947,149.8744,119.819,64.30579,64.36129,10,10,49.95573,49.99352,49.98791,49.68797,0,0,1,1.5,37,180,-0.4679794,120,5.823982,180.4865,181.0779,742.2371,181.0779,307.3738,181.0779,271.1311,32.40788,24.91794
E3E2BC1911,0,39,2024/3/14 17:35,100.01,474.3,466.3,13.58675,11.84063,0,0,1.2,1.2,2,59.92867,319.7366,149.422,119.7247,64.30202,64.33547,10,10,50.00982,49.99165,49.9887,49.77499,0,0,1,1.5,37,180,-0.4679794,120,5.830305,190.5468,191.1381,739.9741,191.1381,310.3118,191.1381,273.9689,32.42244,24.91875
E3E2BC1911,0,40,2024/3/14 17:35,99.99455,473.9,463.8,13.55492,12.23854,0,0,1.2,1.2,2,59.76894,320.4824,150.4668,119.8388,64.24293,64.30579,10,10,50.31638,50.02223,50.02579,49.84261,0,0,1,1.5,37,180,-0.4679794,120,5.882186,200.614,201.2053,737.5139,201.2053,312.8512,201.2053,276.8309,32.424,24.91919
E3E2BC1911,0,41,2024/3/14 17:35,99.99455,470.8,458.6,13.61631,12.55,0,0,1.2,1.2,2,60.07176,320.0071,150.8517,119.9281,64.18259,64.2606,10,10,49.70655,49.99352,50.00887,49.83426,0,0,1,1.5,37,180,-0.4679794,120,5.880512,210.6813,211.2726,737.5049,211.2726,315.3525,211.2726,279.7799,32.39112,24.91844
E3E2BC1911,0,42,2024/3/14 17:35,100.01,466.4,456.6,14.30066,13.73387,0,0,1.2,1.2,2,59.69863,320.324,149.8219,119.7421,64.22282,64.26965,10,10,50.78689,50.02592,50.0129,49.925,0,0,1,1.5,37,180,-0.4679794,120,5.880505,220.7489,221.3402,733.0865,221.3402,318.2763,221.3402,282.6081,32.43362,24.91825
E3E2BC1911,0,43,2024/3/14 17:35,99.99455,472,462.4,13.77172,12.34172,0,0,1.2,1.2,2,60.22533,320.0705,149.7495,119.8078,64.19767,64.23092,10,10,50.31803,50.03889,49.85564,49.8602,0,0,1,1.5,37,180,-0.4679794,120,5.880512,230.8167,231.4081,731.6257,231.4081,320.9628,231.4081,285.3589,32.43406,24.91869
