ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3N2BC1432,0,85,2024-03-22 14:54:53,29.95614,522.3,673.6,13.62551,12.84249,0,0,1.15,1.15,1.5,60.19875,176.8241,101.7668,114.3352,59.8581,60.15594,5,5,50.01693,48.13844,50.68045,51.73271,0,0,1,5.5,32,230,-0.3469625,120,-11.52847,210.2103,190.9563,731.5464,210.8996,283.7794,210.8996,287.0561,32.17497,32.49007
E3N2BC1432,0,86,2024-03-22 14:54:59,29.95614,515.8,669.6,14.16484,13.40085,0,0,1.15,1.15,1.5,59.55716,179.05,99.46319,113.8479,59.75939,59.89371,5,5,50.04231,48.98631,50.33008,50.73271,0,0,1,5.5,32,230,-0.3469625,120,-11.49396,213.2253,193.9713,731.0008,213.9146,284.4977,213.9146,287.9322,32.2799,32.5449
E3N2BC1432,0,87,2024-03-22 14:55:05,29.95614,515.5,669.6,14.15453,13.5983,0,0,1.15,1.15,1.5,59.97718,180.2423,98.33149,113.6645,59.69192,59.73186,5,5,49.98307,49.49742,50.16466,50.27716,0,0,1,5.5,32,230,-0.3469625,120,-11.49395,216.2405,196.9864,730.9529,216.9298,285.8332,216.9298,288.5568,32.2688,32.61975
E3N2BC1432,0,88,2024-03-22 14:55:11,29.95614,515.4,669.8,13.91097,13.3377,0,0,1.15,1.15,1.5,59.96866,181.2668,98.25101,113.7399,59.65693,59.85106,5,5,49.98077,49.67265,50.08948,50.14012,0,0,1,5.5,32,230,-0.3469644,120,-11.49395,219.2579,200.0039,730.3977,219.9472,286.664,219.9472,289.0872,32.1812,32.4663
E3N2BC1432,0,89,2024-03-22 14:55:17,29.97551,515.9,669.2,14.015,13.44945,0,0,1.15,1.15,1.5,59.90413,181.0092,101.1456,114.3276,59.80937,59.83098,5,5,50.00154,49.86839,50.00525,50.05,0,0,1,5.5,32,230,-0.3469625,120,-11.49396,222.2834,203.0294,730.0866,222.9727,287.6734,222.9727,290.03,32.17392,32.40855
E3N2BC1432,0,90,2024-03-22 14:55:23,29.991,515.5,669.5,14.05077,13.32215,0,0,1.15,1.15,1.5,59.89561,180.4789,100.5295,115.0397,59.69692,59.69799,5,5,49.96692,49.95555,50.02858,49.98643,0,0,1,5.5,32,230,-0.3469663,120,-11.49396,225.2989,206.0449,729.6655,225.9882,288.2364,225.9882,290.6429,32.1746,32.346
E3N2BC1432,0,91,2024-03-22 14:55:29,29.991,516.2,665.5,14.43913,13.47353,0,0,1.15,1.15,1.5,59.95648,180.2782,100.107,115.2269,59.91433,59.75194,5,5,49.96846,50.07179,49.96165,49.93333,0,0,1,5.5,32,230,-0.3469644,120,-11.49395,228.3126,209.0586,729.1102,229.0019,289.0361,229.0019,291.4836,32.17415,32.50905
E3N2BC1432,0,92,2024-03-22 14:55:36,29.991,515.9,665.1,14.49349,13.61242,0,0,1.15,1.15,1.5,59.91874,180.6857,99.89826,115.5747,59.7369,59.77201,5,5,50.03077,49.95042,50.05037,49.95123,0,0,1,5.5,32,230,-0.3469644,120,-11.49395,231.328,212.074,728.2439,232.0173,289.8242,232.0173,292.285,32.22545,32.5482
E3N2BC1432,0,93,2024-03-22 14:55:42,29.991,515.4,664.5,14.19278,13.53339,0,0,1.15,1.15,1.5,59.94553,179.5383,98.28622,115.8937,59.73815,59.75821,5,5,49.99692,49.91624,50.0406,50.03703,0,0,1,5.5,32,230,-0.3469663,120,-11.45967,234.3515,215.0975,727.8945,235.0408,290.1193,235.0408,292.9764,32.30075,32.46172
E3N2BC1432,0,94,2024-03-22 14:55:48,29.991,515.9,665.4,14.38901,13.63046,0,0,1.15,1.15,1.5,59.96135,180.8309,99.66438,116.2768,59.69067,59.74692,5,5,49.98923,49.98888,49.99548,49.9926,0,0,1,5.5,32,230,-0.3469663,120,-11.45967,237.371,218.117,727.4063,238.0603,290.9734,238.0603,293.7936,32.19335,32.6088
